SEC Region,Organization CRD#,Additional CRD Number,Total number of additional CRD numbers,SEC#,Firm Type,CIK#,Total number of CIK numbers,Primary Business Name,Legal Name,Main Office Street Address 1,Main Office Street Address 2,Main Office City,Main Office State,Main Office Country,Main Office Postal Code,Main Office Private Residence Flag,Main Office Telephone Number,Main Office Facsimile Number,"Total number of offices, other than your Principal Office and place of business",Mail Office Street Address 1,Mail Office Street Address 2,Mail Office City,Mail Office State,Mail Office Country,Mail Office Postal Code,Mail Office Private Residence Flag,Chief Compliance Officer Name,Chief Compliance Officer Other Titles,Chief Compliance Officer Telephone,Chief Compliance Officer Facsimile,Chief Compliance Officer Street Address 1,Chief Compliance Officer Street Address 2,Chief Compliance Officer City,Chief Compliance Officer State,Chief Compliance Officer Country,Chief Compliance Officer Postal Code,Chief Compliance Officer E-mail,Name of the other person compensating CCO,EIN of the Other person compensating CCO,SEC Current Status,SEC Status Effective Date,Jurisdiction Notice Filed-Effective Date,Latest ADV Filing Date,Form Version,1I,Website Address,Total Number of Website Addresses,Location of Books and Records Street Address 1,Location of Books and Records Street Address 2,Location of Books and Records City,Location of Books and Records State,Location of Books and Records Country,Location of Books and Records Postal Code,Total Number of Books and Records Locations,1M,1N,1O,"1O - If yes, approx. amount of assets",1P,2B(1),2B(2),2B(3),3A,3A-Other,3B,3C-State,3C-Country,6A(1),6A(2),6A(3),6A(4),6A(5),6A(6),6A(7),6A(8),6A(9),6A(10),6A(11),6A(12),6A(13),6A(14),6A(14)-Other,6B(1),6B(2),6B(3),7A(1),7A(2),7A(3),7A(4),7A(5),7A(6),7A(7),7A(8),7A(9),7A(10),7A(11),7A(12),7A(13),7A(14),7A(15),7A(16),Count of IA Affiliates,Count of IA/BD Affiliates,Count of BD Affiliates,Control/Controlled by Related Person,Under Common Control,Share Supervised Persons,Share Location,7B,Count of Private Funds - 7B(1),Any PFs a Master,Any Hedge Funds,Total number of Hedge funds,Any Liquidity Funds,Total number of Liquidity funds,Any PE Funds,Total number of PE funds,Any Real Estate Funds,Total number of Real Estate funds,Any Securitized Funds,Total number of Securitized funds,Any VC Funds,Total number of VC funds,Any Other Funds,Total number of Other funds,Total Gross Assets of Private Funds,Count of Private Funds - 7B(2),10A,Count of Control person Public Reporting Company,11,11A(1),Count of 11A(1) disclosures,11A(2),Count of 11A(2) disclosures,11B(1),Count of 11B(1) disclosures,11B(2),Count of 11B(2) disclosures,11C(1),Count of 11C(1) disclosures,11C(2),Count of 11C(2) disclosures,11C(3),Count of 11C(3) disclosures,11C(4),Count of 11C(4) disclosures,11C(5),Count of 11C(5) disclosures,11D(1),Count of 11D(1) disclosures,11D(2),Count of 11D(2) disclosures,11D(3),Count of 11D(3) disclosures,11D(4),Count of 11D(4) disclosures,11D(5),Count of 11D(5) disclosures,11E(1),Count of 11E(1) disclosures,11E(2),Count of 11E(2) disclosures,11E(3),Count of 11E(3) disclosures,11E(4),Count of 11E(4) disclosures,11F,Count of 11F disclosures,11G,Count of 11G disclosures,11H(1)(a),Count of 11H(1)(a) disclosures,11H(1)(b),Count of 11H(1)(b) disclosures,11H(1)(c),Count of 11H(1)(c) disclosures,11H(2),Count of 11H(2) disclosures,12A,12B(1),12B(2),12C(1),12C(2)
HQ,314119,,,802-121069,ERA,,,SPEEDUP,SPEEDUP LTD,6 HANARKISIM,,KFAR-SHMARIYO,,Israel,4691000,N,09-373-0069,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,3/31/2021,,3/31/2025,21-Oct,Y,https://www.facebook.com/Disruptive-Technologies-Venture-Capital-1923716637857531/,3,,,,,,,0,Y,N,N,,,Y,N,N,Other (specify),LIMITED COMPANY,DECEMBER,,Israel,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,Y,Y,Y,Y,Y,6,N,N,,N,,N,,N,,N,,Y,6,N,,"177,274,793.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
PLRO,157216,,,802-118697,ERA,,,"PROPERTY INVESTMENT ADVISORS, INC.","PROPERTY INVESTMENT ADVISORS, INC.",7202 GLEN FOREST DRIVE,SUITE 100,RICHMOND,VA,United States,23226,N,(804) 644-4473,(804) 644-4477,0,7202 GLEN FOREST DRIVE,SUITE 100,RICHMOND,VA,United States,23226,N,JASON A. YOUNG,CFO,(804) 644-4473,(804) 644-4477,7202 GLEN FOREST DRIVE,SUITE 100,RICHMOND,VA,United States,23226,JYOUNG@PIAINC.NET,,,ERA - Active,4/10/2020,,3/28/2025,21-Oct,Y,HTTPS://WWW.LINKEDIN.COM/COMPANY/1829701/,2,851 SW 6TH AVENUE,SUITE 800,PORTLAND,OR,United States,97204,2,N,N,N,,,N,Y,N,Corporation,,DECEMBER,VA,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,N,Y,Y,Y,Y,12,N,N,,N,,N,,Y,12,N,,N,,N,,"81,309,442.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
NYRO,300956,,,802-114994,ERA,,,BLACKBOX GROUP LLC,BLACKBOX GROUP LLC,,,,,,,Y,646-506-3680,,0,,,,,,,,MICHAEL SALEMI,MANAGING MEMBER,646 506 3681,,35 VILLA ROAD,,LARCHMONT,NY,United States,10538,MIKE@TRADEBLACKBOX.COM,,,ERA - Active,3/13/2019,,3/20/2025,21-Oct,N,,0,,,,,,,0,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,N,N,N,N,Y,1,N,Y,1,N,,N,,N,,N,,N,,N,,"80,185,245.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,310214,,,802-120260,ERA,,,468 MANAGEMENT GMBH,468 MANAGEMENT GMBH,WIELANDSTR. 26/26A,,BERLIN,,Germany,10707,N,0049 1743338861,,2,,,,,,,,ALEXANDER KUDLICH,MANAGING DIRECTOR,0049 174 3338861,,WIELANDSTR. 26/26A,,BERLIN,,Germany,10707,ALEXANDER@468CAP.COM,,,ERA - Active,1/4/2021,,3/31/2025,21-Oct,Y,https://www.468cap.com,3,,,,,,,0,Y,N,N,,,Y,N,N,Other (specify),GMBH - GERMAN EQUIVALENT TO  LLC,DECEMBER,,Germany,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,N,Y,Y,Y,Y,6,N,N,,N,,N,,N,,N,,Y,6,N,,"631,496,658.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
SFRO,284959,,,802-127721,ERA,,,"HIGHGEAR VENTURES MANAGEMENT, LLC","HIGHGEAR VENTURES MANAGEMENT, LLC",ONE EMBARCADERO CENTER,SUITE 1200,SAN FRANCISCO,CA,United States,94111,N,650-743-3011,,0,,,,,,,,JIM JONES,MANAGING MEMBER,650-743-3011,,201 H STREET,,SAN RAFAEL,CA,United States,94901,JIM@HIGHGEARVENTURES.COM,,,ERA - Active,3/23/2023,,6/25/2025,21-Oct,Y,https://www.linkedin.com/company/highgear-ventures,2,"333 BUSH STREET, STE. 2300",SUITE 2300,SAN FRANCISCO,CA,United States,94104,1,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,CA,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,Y,N,Y,Y,Y,4,N,N,,N,,Y,1,N,,N,,N,,Y,3,"98,731,585.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
LARO,309765,,,802-119238,ERA,,,"UP PARTNERS MANAGEMENT COMPANY, LLC","UP PARTNERS MANAGEMENT COMPANY, LLC",2828 DONALD DOUGLAS LOOP N.,SUITE 101,SANTA MONICA,CA,United States,90405,N,833-410-0800,,1,,,,,,,,,,,,,,,,,,,,,ERA - Active,7/7/2020,,3/20/2025,21-Oct,Y,https://www.up.partners/,1,2420 17TH STREET,SUITE 240,DENVER,CO,United States,80202,1,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,Y,N,Y,Y,Y,5,N,N,,N,,N,,N,,N,,Y,5,N,,"343,193,760.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,330039,,,802-130062,ERA,,,"VIOLA GROWTH INVESTMENTS MANAGEMENT 4, LIMITED PARTNERSHIP","VIOLA GROWTH INVESTMENTS MANAGEMENT 4, LIMITED PARTNERSHIP","ACKERSTEIN TOWERS, BLDG D",12 ABBA EBAN AVE.,HERTZELYA,,Israel,4672530,N,97299720400,97299720403,0,,,,,,,,YITZHAK AVIDOR,CFO,97299720400,,"ACKERSTEIN TOWERS, BLDG D",12 ABBA EBAN AVE.,HERZELIYA,,Israel,4672530,IAVIDOR@VIOLA-GROUP.COM,,,ERA - Active,3/28/2024,,3/31/2025,21-Oct,Y,http://www.violagrowth.com,4,,,,,,,0,N,N,N,,,N,Y,N,Limited Partnership,,DECEMBER,,Israel,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,25,0,0,Y,N,Y,Y,Y,1,Y,N,,N,,Y,1,N,,N,,N,,N,,"174,702,000.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,313308,,,802-120930,ERA,,,TRILL IMPACT ADVISORY GMBH,TRILL IMPACT ADVISORY GMBH,FÄRBERGRABEN 16,,MUNICH,,Germany,80331,N,49 17 28628779,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,3/25/2021,,3/28/2025,21-Oct,Y,https://www.linkedin.com/company/trill-impact/,2,,,,,,,0,N,N,N,,,N,Y,N,Other (specify),GERMAN LIMITED COMPANY,DECEMBER,,Germany,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,2,0,0,Y,Y,Y,N,Y,2,N,N,,N,,Y,2,N,,N,,N,,N,,"1,155,556,674.00",2,N,1,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,305204,,,802-117450,ERA,,,EQT PARTNERS S.R.L.,EQT PARTNERS S.R.L.,PASSAGGLO CENTRALE 2,,"MILAN, MILAN",,Italy,20123,N,3.93457E+11,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,9/6/2019,,3/30/2025,21-Oct,N,,0,REGERINGSGATAN 25,,STOCKHOLM,,Sweden,11153,1,N,N,N,,,N,Y,N,Other (specify),SOCIETA' A RESPONSABILITA' LIMITATA,DECEMBER,,Italy,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,4,0,1,Y,N,Y,N,Y,0,N,N,,N,,N,,N,,N,,N,,N,,0,53,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,269928,,,802-101489,ERA,,,OY SIRIUS CAPITAL PARTNERS AB,OY SIRIUS CAPITAL PARTNERS AB,UUDENMAANKATU 7 B 5,,"HELSINKI, UUSIMAA",,Finland,00120,N,358 50 5764422,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,7/6/2015,,3/31/2025,21-Oct,Y,HTTP://WWW.SIRIUS.FI,3,,,,,,,0,N,N,N,,743700OE5SIO165R0C19,N,Y,N,Limited Liability Company,,DECEMBER,,Finland,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,Y,Y,Y,N,Y,2,N,N,,N,,N,,Y,2,N,,N,,N,,"540,832,016.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
